Departements;Total
01;671.937
02;522.791
03;332.443
04;166.654
05;139.942
06;1.110.328
07;332.230
08;265.417
09;154.581
10;312.713
11;379.775
12;279.504
13;2.069.118
14;700.595
15;143.639
16;351.036
17;665.904
18;297.274
19;237.077
2A;163.955
2B;187.300
21;536.166
22;607.834
23;113.106
24;411.382
25;550.112
26;523.185
27;596.710
28;428.994
29;926.065
30;757.435
31;1.470.367
32;192.820
33;1.691.437
34;1.232.805
35;1.118.600
36;214.914
37;618.016
38;1.294.476
39;256.814
40;428.669
41;326.465
42;772.342
43;226.878
44;1.497.313
45;686.615
46;175.308
47;328.309
48;76.648
49;828.269
50;492.642
51;564.108
52;167.544
53;305.452
54;729.477
55;178.010
56;777.383
57;1.051.456
58;197.857
59;2.606.646
60;833.259
61;272.872
62;1.453.934
63;669.117
64;697.899
65;230.583
66;490.594
67;1.168.422
68;769.231
69;1.921.014
70;231.773
71;547.362
72;567.118
73;447.797
74;862.267
75;2.102.650
76;1.254.204
77;1.452.775
78;1.461.524
79;373.899
80;564.067
81;394.546
82;266.039
83;1.110.260
84;563.789
85;709.274
86;441.534
87;370.113
88;355.884
89;329.321
90;136.891
91;1.316.053
92;1.642.002
93;1.682.806
94;1.426.748
95;1.274.374
971;375.845
972;347.686
973;301.099
974;873.102
976;310.022
